Past Paper Question Bank (Done),Year-Month-Question,Exam Series,Total Mark,Your Marks,Textbook,Textbook Sub-Topic,Status,Difficulty/Style,Question Type,Unit Topic,Unit Sub-Topic
Yes,2018-Sample Paper-Q1a,2018-Sample Paper,3,2.0,Chapter 8 Differentiation,8e Differentiating functions with two or more terms,Not started,Easy ,Sub-Question/One Question,4. Differentiation,"4.2 Differentiation of $xⁿ$, and related sums. differences and constant multiples."
Yes,2018-Sample Paper-Q1b,2018-Sample Paper,3,2.0,Chapter 9 Integration,9b Indefinite integrals,Need Marking,Easy ,Sub-Question/One Question,5. Integration,"5.1 Indefinite integration as the reverse of differentiation.  5.2 Integration of $xⁿ$ and related sums, differences and constant multiples."
No,2018-Sample Paper-Q2a,2018-Sample Paper,5,4.0,Chapter 1 Algebraic Expressions,1f Rationalising denominators,Need Marking,Medium ,Sub-Question/One Question,1. Algebra and functions,1.2 Use and manipulation of surds.
No,2018-Sample Paper-Q2b,2018-Sample Paper,5,5.0,Chapter 1 Algebraic Expressions,1a Index laws,Need Marking,Medium ,Sub-Question/One Question,1. Algebra and functions,1.1 Laws of indices for all rational exponents.
No,2018-Sample Paper-Q3,2018-Sample Paper,6,4.0,Chapter 3 Equations and Inequalities,3b Quadratic simultaneous equations,Not started,Easy ,Main Question,1. Algebra and functions,1.6 Solve simultaneous equations; analytical solution by substitution.
No,2018-Sample Paper-Q4,2018-Sample Paper,5,3.0,Chapter 3 Equations and Inequalities,3c Simultaneous equations on graphs,Not started,Medium ,Main Question,1. Algebra and functions,1.6 Solve simultaneous equations; analytical solution by substitution.
No,2018-Sample Paper-Q5a,2018-Sample Paper,8,7.0,Chapter 3 Equations and Inequalities,3c Simultaneous equations on graphs,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.6 Solve simultaneous equations; analytical solution by substitution.
No,2018-Sample Paper-Q5b,2018-Sample Paper,8,6.0,Chapter 3 Equations and Inequalities,3g Regions,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.8 Represent linear and quadratic inequalities graphically.
No,2018-Sample Paper-Q5c,2018-Sample Paper,8,6.0,Chapter 3 Equations and Inequalities,3f Inequalities on graphs,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,1.7 Interpret linear and quadratic inequalities graphically.
No,2018-Sample Paper-Q6a,2018-Sample Paper,7,5.0,Chapter 4 Graphs and Transformations,4f Transforming functions,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax)."
No,2018-Sample Paper-Q6b,2018-Sample Paper,7,4.0,Chapter 4 Graphs and Transformations,4f Transforming functions,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax)."
No,2018-Sample Paper-Q7,2018-Sample Paper,5,5.0,Chapter 9 Integration,9c Finding functions,Not started,Hard ,Main Question,5. Integration,"5.2 Integration of $xⁿ$ and related sums, differences and constant multiples."
No,2018-Sample Paper-Q8a,2018-Sample Paper,10,5.0,Chapter 5 Straight Line Graphs,5c Parallel and perpendicular lines,Not started,Easy ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane",2.2 Conditions for two straight lines to be parallel or perpendicular to each other.
No,2018-Sample Paper-Q8b,2018-Sample Paper,10,9.0,Chapter 5 Straight Line Graphs,5b Equations of straight lines,Not started,Medium ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane","2.1 Equation of a straight line, including the forms $$y-{{y}{1}}=m\left x-{{x}{1}} \right)$ and ax+by+c=0.$$"
No,2018-Sample Paper-Q9a,2018-Sample Paper,11,11.0,Chapter 8 Differentiation,"8f Gradients, tangents and normals",Not started,Medium ,Sub-Question/One Question,4. Differentiation,"4.3 Applications of differentiation to gradients, tangents and normals."
No,2018-Sample Paper-Q9b,2018-Sample Paper,11,11.0,Chapter 3 Equations and Inequalities,3b Quadratic simultaneous equations,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.6 Solve simultaneous equations; analytical solution by substitution.
No,2018-Sample Paper-Q10a,2018-Sample Paper,12,12.0,Chapter 6 Trigonometric Ratios,6a The cosine rule,Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.1 The sine and cosine rules, and the area of a triangle in the form $\frac{1}{2}ab\sin C$."
No,2018-Sample Paper-Q10b,2018-Sample Paper,12,7.0,Chapter 7 Radians,7c Areas of sectors and segments,Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.2 Radian measure, including use for arc length and area of sector."
No,2018-Sample Paper-Q10c,2018-Sample Paper,12,8.0,Chapter 6 Trigonometric Ratios,6c Areas of triangles,Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.1 The sine and cosine rules, and the area of a triangle in the form $\frac{1}{2}ab\sin C$."
No,2018-Sample Paper-Q10d,2018-Sample Paper,12,9.0,Chapter 7 Radians,7b Arc length,Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.2 Radian measure, including use for arc length and area of sector."
No,2018-Specimen Paper-Q1a,2018-Specimen Paper,1,1.0,Chapter 4 Graphs and Transformations,4d Translating graphs,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax)."
No,2018-Specimen Paper-Q1b,2018-Specimen Paper,1,1.0,Chapter 4 Graphs and Transformations,4e Stretching graphs,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax)."
No,2018-Specimen Paper-Q1c,2018-Specimen Paper,1,1.0,Chapter 4 Graphs and Transformations,4e Stretching graphs,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax)."
No,2018-Specimen Paper-Q1d,2018-Specimen Paper,1,1.0,Chapter 4 Graphs and Transformations,4d Translating graphs,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax)."
No,2018-Specimen Paper-Q2 a,2018-Specimen Paper,5,5.0,Chapter 3 Equations and Inequalities,3c Simultaneous equations on graphs,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.6 Solve simultaneous equations; analytical solution by substitution.
No,2018-Specimen Paper-Q2 b,2018-Specimen Paper,2,1.0,Chapter 3 Equations and Inequalities,3e Quadratic inequalities,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.7 Interpret linear and quadratic inequalities graphically.
No,2018-Specimen Paper-Q3a,2018-Specimen Paper,3,3.0,Chapter 8 Differentiation,8e Differentiating functions with two or more terms,Not started,Hard ,Sub-Question/One Question,4. Differentiation,"4.2 Differentiation of $xⁿ$, and related sums. differences and constant multiples."
No,2018-Specimen Paper-Q3b,2018-Specimen Paper,4,3.0,Chapter 8 Differentiation,"8f Gradients, tangents and normals",Not started,Medium ,Sub-Question/One Question,4. Differentiation,"4.3 Applications of differentiation to gradients, tangents and normals.  4.1 The derivative of f(x) as the gradient of the tangent to the graph of y=f(x) at a point; the gradient of the tangent as a limit; interpretation as a rate of change; second order derivatives."
No,2018-Specimen Paper-Q4a,2018-Specimen Paper,4,3.0,Chapter 1 Algebraic Expressions,1a Index laws  1e Surds,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.1 Laws of indices for all rational exponents.  1.2 Use and manipulation of surds.
No,2018-Specimen Paper-Q4b,2018-Specimen Paper,3,3.0,Chapter 1 Algebraic Expressions,1f Rationalising denominators,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.2 Use and manipulation of surds.
No,2018-Specimen Paper-Q5a,2018-Specimen Paper,4,4.0,Chapter 7 Radians  Chapter 6 Trigonometric Ratios,7b Arc length  6a The cosine rule,Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.2 Radian measure, including use for arc length and area of sector.  3.1 The sine and cosine rules, and the area of a triangle in the form $\frac{1}{2}ab\sin C$."
No,2018-Specimen Paper-Q5b,2018-Specimen Paper,4,2.0,Chapter 7 Radians  Chapter 6 Trigonometric Ratios,7c Areas of sectors and segments  6c Areas of triangles,Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.2 Radian measure, including use for arc length and area of sector.  3.1 The sine and cosine rules, and the area of a triangle in the form $\frac{1}{2}ab\sin C$."
No,2018-Specimen Paper-Q6a,2018-Specimen Paper,4,4.0,Chapter 5 Straight Line Graphs,5a $y=mx+c$  5c Parallel and perpendicular lines  5b Equations of straight lines,Not started,Easy ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane","2.2 Conditions for two straight lines to be parallel or perpendicular to each other.  2.1 Equation of a straight line, including the forms $$y-{{y}{1}}=m\left x-{{x}{1}} \right)$ and ax+by+c=0.$$"
No,2018-Specimen Paper-Q6bi,2018-Specimen Paper,2,1.0,Chapter 3 Equations and Inequalities,3c Simultaneous equations on graphs,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.6 Solve simultaneous equations; analytical solution by substitution.
No,2018-Specimen Paper-Q6bii,2018-Specimen Paper,1,1.0,Chapter 6 Trigonometric Ratios,6c Areas of triangles,Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.1 The sine and cosine rules, and the area of a triangle in the form $\frac{1}{2}ab\sin C$."
No,2018-Specimen Paper-Q7ai,2018-Specimen Paper,2,2.0,Chapter 6 Trigonometric Ratios,"6e Graphs of sine, cosine and tangent  6f Transforming trigonometric graphs",Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2018-Specimen Paper-Q7aii,2018-Specimen Paper,2,2.0,Chapter 6 Trigonometric Ratios,"6e Graphs of sine, cosine and tangent",Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2018-Specimen Paper-Q7bi,2018-Specimen Paper,1,1.0,Chapter 6 Trigonometric Ratios,"6e Graphs of sine, cosine and tangent  6f Transforming trigonometric graphs",Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2018-Specimen Paper-Q7bii,2018-Specimen Paper,1,1.0,Chapter 6 Trigonometric Ratios,"6e Graphs of sine, cosine and tangent",Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2018-Specimen Paper-Q8a,2018-Specimen Paper,2,1.0,Chapter 4 Graphs and Transformations,4a Cubic graphs  4c Points of intersection,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,"1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2018-Specimen Paper-Q8b,2018-Specimen Paper,3,3.0,Chapter 1 Algebraic Expressions,1b Expanding brackets,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,"1.10 Algebraic manipulation of polynomials, including expanding brackets and collecting like terms, factorisation."
No,2018-Specimen Paper-Q8ci,2018-Specimen Paper,3,3.0,Chapter 4 Graphs and Transformations,4b Reciprocal graphs  4e Stretching graphs,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions,"1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2018-Specimen Paper-Q8cii,2018-Specimen Paper,1,2.0,Chapter 4 Graphs and Transformations,4c Points of intersection,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,"1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2018-Specimen Paper-Q9a,2018-Specimen Paper,3,2.0,Chapter 4 Graphs and Transformations  Chapter 5 Straight Line Graphs,4c Points of intersection  5b Equations of straight lines,Not started,Hard ,Sub-Question/One Question,"1. Algebra and functions  2. Coordinate geometry in the x,y) plane","1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations.  2.1 Equation of a straight line, including the forms $$y-{{y}{1}}=m\left x-{{x}{1}} \right)$ and ax+by+c=0.$$"
No,2018-Specimen Paper-Q9b,2018-Specimen Paper,3,2.0,Chapter 4 Graphs and Transformations,4c Points of intersection,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,"1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2018-Specimen Paper-Q9c,2018-Specimen Paper,4,4.0,Chapter 2 Quadratics,2f The discriminant,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.4 The discriminant of a quadratic function.
No,2018-Specimen Paper-Q10i,2018-Specimen Paper,5,5.0,Chapter 9 Integration,9b Indefinite integrals,Not started,Medium ,Sub-Question/One Question,5. Integration,"5.2 Integration of $xⁿ$ and related sums, differences and constant multiples."
No,2018-Specimen Paper-Q10ii,2018-Specimen Paper,5,5.0,Chapter 9 Integration  Chapter 8 Differentiation,9b Indefinite integrals  9c Finding functions  8a Gradients of curves,Not started,Hard ,Sub-Question/One Question,4. Differentiation  5. Integration,"4.1 The derivative of f(x) as the gradient of the tangent to the graph of y=f(x) at a point; the gradient of the tangent as a limit; interpretation as a rate of change; second order derivatives.  5.2 Integration of $xⁿ$ and related sums, differences and constant multiples."
No,2019-January-Q1,2019-January,4,,Chapter 9 Integration,9b Indefinite integrals,Not started,Medium ,Main Question,5. Integration,"5.2 Integration of $xⁿ$ and related sums, differences and constant multiples."
No,2019-January-Q2,2019-January,3,,Chapter 1 Algebraic Expressions,1a Index laws,Not started,Easy ,Main Question,1. Algebra and functions,1.1 Laws of indices for all rational exponents.
No,2019-January-Q3a,2019-January,5,,Chapter 8 Differentiation,8a Gradients of curves,Not started,Easy ,Sub-Question/One Question,4. Differentiation,4.1 The derivative of f(x) as the gradient of the tangent to the graph of y=f(x) at a point; the gradient of the tangent as a limit; interpretation as a rate of change; second order derivatives.
No,2019-January-Q3b,2019-January,5,,Chapter 5 Straight Line Graphs,5a $y=mx+c$,Not started,Easy ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane","2.1 Equation of a straight line, including the forms $$y-{{y}{1}}=m\left x-{{x}{1}} \right)$ and ax+by+c=0.$$"
No,2019-January-Q4,2019-January,3,,Chapter 3 Equations and Inequalities,3f Inequalities on graphs,Not started,Medium ,Main Question,1. Algebra and functions,1.9 Solutions of linear and quadratic inequalities.
No,2019-January-Q5a,2019-January,6,,Chapter 4 Graphs and Transformations,4e Stretching graphs,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,1.3 Quadratic functions and their graphs.
No,2019-January-Q5b,2019-January,6,,Chapter 6 Trigonometric Ratios,"6e Graphs of sine, cosine and tangent",Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2019-January-Q5ci,2019-January,6,,,"6e Graphs of sine, cosine and tangent",Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2019-January-Q5cii,2019-January,6,,Chapter 6 Trigonometric Ratios,"6e Graphs of sine, cosine and tangent",Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2019-January-Q6a,2019-January,7,,Chapter 8 Differentiation,8d Differentiating quadratics,Not started,Easy ,Sub-Question/One Question,4. Differentiation,4.1 The derivative of f(x) as the gradient of the tangent to the graph of y=f(x) at a point; the gradient of the tangent as a limit; interpretation as a rate of change; second order derivatives.
No,2019-January-Q6b,2019-January,7,,Chapter 8 Differentiation,8d Differentiating quadratics  8g Second order derivatives,Not started,Medium ,Sub-Question/One Question,4. Differentiation,4.1 The derivative of f(x) as the gradient of the tangent to the graph of y=f(x) at a point; the gradient of the tangent as a limit; interpretation as a rate of change; second order derivatives.
No,2019-January-Q7a,2019-January,6,,Chapter 6 Trigonometric Ratios,6b The sine rule,Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.1 The sine and cosine rules, and the area of a triangle in the form $\frac{1}{2}ab\sin C$."
No,2019-January-Q7b,2019-January,6,,Chapter 6 Trigonometric Ratios,6b The sine rule,Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.1 The sine and cosine rules, and the area of a triangle in the form $\frac{1}{2}ab\sin C$."
No,2019-January-Q8a,2019-January,6,,Chapter 4 Graphs and Transformations,4f Transforming functions,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax).  1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2019-January-Q8b,2019-January,6,,Chapter 4 Graphs and Transformations,4f Transforming functions,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax).  1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2019-January-Q8c,2019-January,6,,Chapter 4 Graphs and Transformations,4c Points of intersection,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,"1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2019-January-Q8di,2019-January,6,,Chapter 4 Graphs and Transformations,4f Transforming functions,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax).  1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2019-January-Q8dii,2019-January,6,,Chapter 4 Graphs and Transformations,4f Transforming functions,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax).  1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2019-January-Q9,2019-January,7,,Chapter 3 Equations and Inequalities  Chapter 2 Quadratics,2a Solving quadratic equations  3e Quadratic inequalities,Not started,Medium ,Main Question,1. Algebra and functions,1.3 Quadratic functions and their graphs.  1.9 Solutions of linear and quadratic inequalities.
No,2019-January-Q10a,2019-January,7,,Chapter 7 Radians,7c Areas of sectors and segments,Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.2 Radian measure, including use for arc length and area of sector."
No,2019-January-Q10b,2019-January,7,,Chapter 2 Quadratics,2a Solving quadratic equations,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,1.3 Quadratic functions and their graphs.
No,2019-January-Q11ai,2019-January,12,,Chapter 4 Graphs and Transformations,4d Translating graphs,Not started,Easy ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax).  1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2019-January-Q11aii,2019-January,12,,Chapter 4 Graphs and Transformations,4d Translating graphs,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,"1.12 Knowledge of the effect of simple transformations on the graph of y = f(x) as represented by y = af(x), y = f(x) + a, y = f(x + a), y = f(ax).  1.11 Graphs of functions; sketching curves defined by simple equations.
Geometrical interpretation of algebraic solution of equations. Use of intersection points of graphs of functions to solve equations."
No,2019-January-Q11b,2019-January,12,,Chapter 4 Graphs and Transformations,4c Points of intersection,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.3 Quadratic functions and their graphs.
No,2019-January-Q11c,2019-January,12,,Chapter 4 Graphs and Transformations,4c Points of intersection,Not started,Hard ,Sub-Question/One Question,1. Algebra and functions,1.3 Quadratic functions and their graphs.
No,2019-January-Q12b,2019-January,9,,Chapter 9 Integration,9c Finding functions,Not started,Hard ,Sub-Question/One Question,5. Integration,"5.2 Integration of $xⁿ$ and related sums, differences and constant multiples."
No,2019-January-Q12a,2019-January,9,,Chapter 8 Differentiation,8b Finding the derivative,Not started,Easy ,Sub-Question/One Question,4. Differentiation,4.1 The derivative of f(x) as the gradient of the tangent to the graph of y=f(x) at a point; the gradient of the tangent as a limit; interpretation as a rate of change; second order derivatives.
No,2019-October-Q1a,2019-October,5,,Chapter 7 Radians,7c Areas of sectors and segments,Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.2 Radian measure, including use for arc length and area of sector."
No,2019-October-Q1b,2019-October,5,,Chapter 7 Radians,7b Arc length,Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.2 Radian measure, including use for arc length and area of sector."
